method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper
NMF,rmse,vulnerable_activity,1.0548955281277677,0.17193781735276054,1.0309502683529028,0.9070442927223706,1.5952465614802136,100,1.0211957159266265,1.0885953403289088
Tweedie,rmse,vulnerable_activity,1.0809588262285599,0.035831952312175785,1.08678106785554,0.9826964946677316,1.1374429828390709,100,1.0739357635753735,1.0879818888817463
AdaBoost,rmse,vulnerable_activity,1.0828887503077678,0.035086880637108415,1.0907493360217622,0.9881127005534612,1.1400584935375568,100,1.0760117217028946,1.089765778912641
GradientBoosting,rmse,vulnerable_activity,1.0831164952275172,0.035863990101569765,1.0931437971267814,0.9889436494355188,1.1357319844149,100,1.0760871531676095,1.0901458372874249
RandomForest,rmse,vulnerable_activity,1.083429604684259,0.03689528679390631,1.0886873694000898,0.9874999102134012,1.1409627383793108,100,1.0761981284726534,1.0906610808958648
BayesianRidge,rmse,vulnerable_activity,1.0862373597029438,0.037268592812954915,1.0958973170542285,0.9844640120875312,1.1423651300021127,100,1.0789327155116046,1.093542003894283
Ridge,rmse,vulnerable_activity,1.0865408015302271,0.03720515236307823,1.096521840096903,0.9848900010218378,1.1426602459413373,100,1.0792485916670638,1.0938330113933905
LinearSVR,rmse,vulnerable_activity,1.0959305519763651,0.04031696961545386,1.1038153328776636,0.9880187598716932,1.1653338260916404,100,1.088028425931736,1.1038326780209942
Bagging,rmse,vulnerable_activity,1.096161400110436,0.037177217217108795,1.106098372853984,0.9954406940544542,1.153648948388227,100,1.0888746655358827,1.1034481346849894
StochasticItemKNN,rmse,vulnerable_activity,1.1235903152204316,0.14352729509348514,1.0819058697727288,1.0188045021700691,1.5986654792278123,100,1.0954589653821085,1.1517216650587547
Tweedie,f1,vulnerable_gender,0.5460004321632992,0.05957396496855398,0.5387261049671266,0.4366576819407008,0.680628272251309,100,0.5343239350294626,0.5576769292971357
AdaBoost,f1,vulnerable_gender,0.5633060732940326,0.06104599130826638,0.5710274610651167,0.4441489361702128,0.680628272251309,100,0.5513410589976124,0.5752710875904528
Ridge,f1,vulnerable_gender,0.5640750659252631,0.058581818081650146,0.5650747917569001,0.4415584415584415,0.673469387755102,100,0.5525930295812597,0.5755571022692666
BayesianRidge,f1,vulnerable_gender,0.5642892546924305,0.058520226449338617,0.5667090508702582,0.4435797665369649,0.676923076923077,100,0.5528192903083602,0.5757592190765008
Bagging,f1,vulnerable_gender,0.567563080851185,0.05400163994859095,0.5738657647336933,0.4566929133858268,0.6770318021201414,100,0.5569787594212612,0.5781474022811088
RandomForest,f1,vulnerable_gender,0.5727773078759131,0.05695505093267871,0.5796832057322341,0.4585492227979275,0.6903553299492385,100,0.561614117893108,0.5839404978587182
GradientBoosting,f1,vulnerable_gender,0.5733467405009127,0.05477596486210856,0.5801583348347235,0.4705882352941176,0.6965174129353234,100,0.5626106513879394,0.584082829613886
LinearSVR,f1,vulnerable_gender,0.5816396194227018,0.05525076399725915,0.589638612553006,0.4816625916870415,0.7024390243902439,100,0.570810469679239,0.5924687691661646
